model,loss,entropy,value_loss,policy_loss,use_slap,Num_ResBlock,lr,optimizer,dropout,L2,extra_act_fc,batch_size,train_loss,train_entropy,train_value_loss,train_policy_loss,kl,lr_multiplier,explained_var_old,explained_var_new
s0_size10064_originalsize10064,2.819274426,2.848594427,0.002612465,2.816662073,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.788795233,2.779801846,0.004553833,2.784241438,0.002376868,1,0.979686704,0.983877719
s0_size10064_originalsize10064,2.816333532,2.829782963,0.002141476,2.814192057,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.659087896,2.683047771,0.001725034,2.657362938,0.000267047,1,0.993136295,0.993676976
s0_size10064_originalsize10064,2.815020561,2.828104734,0.002098816,2.812921762,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.759084463,2.778886795,0.003688199,2.755396366,0.000550852,1,0.98388296,0.984604281
s0_size10064_originalsize10064,2.81355381,2.814577818,0.002014792,2.811538935,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.868792772,2.851914883,0.001785869,2.867007017,0.001573821,1,0.991823126,0.995445401
s0_size10064_originalsize10064,2.813826561,2.80196619,0.002093164,2.811733484,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.807034016,2.798855782,0.001115359,2.805918694,0.000962026,1,0.994956163,0.99492767
s0_size10064_originalsize10064,2.813756227,2.835720301,0.003065002,2.810691118,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.790607929,2.810522795,0.002672561,2.787935257,0.000264442,1,0.988079704,0.988895091
s0_size10064_originalsize10064,2.812632322,2.845173597,0.002483434,2.810148954,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.825921297,2.879842043,0.002764996,2.823156357,0.000951679,1,0.989479824,0.989306924
s0_size10064_originalsize10064,2.811216354,2.827193022,0.002034174,2.809182167,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.743369579,2.726156235,0.003604139,2.739765406,0.002067351,1,0.984165793,0.991471272
s0_size10064_originalsize10064,2.812510252,2.790117264,0.002714002,2.809796333,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.624885082,2.610172272,0.002704157,2.622180939,0.001147315,1,0.988586407,0.989190905
s0_size10064_originalsize10064,2.815961838,2.778712749,0.003665377,2.812296391,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.633258581,2.659089565,0.00183859,2.631419897,0.006962689,1,0.992941392,0.989640783
s0_size10064_originalsize10064,2.811963081,2.857960701,0.002136835,2.809826136,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.83455205,2.809950113,0.004234037,2.830317974,0.005212941,1,0.981259626,0.985416738
s0_size10064_originalsize10064,2.810866833,2.783573866,0.002913017,2.807953835,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.757763863,2.758188963,0.002270727,2.755493164,0.001205776,1,0.990062003,0.98913082
s0_size10064_originalsize10064,2.805902481,2.808618784,0.001704329,2.804198265,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.772079468,2.788197041,0.001143615,2.770935774,0.000398823,1,0.995325893,0.995370958
s0_size10064_originalsize10064,2.805346012,2.830815315,0.001881277,2.803464651,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.78857398,2.816748619,0.001765898,2.786808014,0.000356481,1,0.99248814,0.992556963
s0_size10064_originalsize10064,2.803769112,2.801955938,0.001681348,2.802087784,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.836883545,2.845619678,0.001604101,2.835279465,0.000640613,1,0.992682551,0.991766712
s0_size10064_originalsize10064,2.803281069,2.819419861,0.001658174,2.801622868,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.708142042,2.720708847,0.001279542,2.70686245,0.000444169,1,0.994862193,0.994921976
s0_size10064_originalsize10064,2.802123547,2.817921638,0.001638536,2.800484896,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.786937714,2.80457449,0.001640231,2.785297394,0.000546373,1,0.993282799,0.993541553
s0_size10064_originalsize10064,2.800903082,2.800847769,0.001490403,2.799412727,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.766544342,2.773316145,0.002368177,2.76417613,0.000465107,1,0.989473846,0.990353901
s0_size10064_originalsize10064,2.801172495,2.786902189,0.001678342,2.799494267,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.950186014,2.94874382,0.002390078,2.947795868,0.00037431,1,0.988385618,0.988554109
s0_size10064_originalsize10064,2.799578905,2.813691616,0.001590303,2.797988653,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.792512655,2.826486349,0.002408659,2.790103912,0.003010524,1,0.989967875,0.991789589
s0_size10064_originalsize10064,2.799041033,2.807524681,0.001740966,2.7973001,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.792408228,2.80386591,0.001012383,2.791395903,0.000450408,1,0.996017932,0.995331669
s0_size10064_originalsize10064,2.79742527,2.810973644,0.001587656,2.795837641,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.811346769,2.817295551,0.001894608,2.809452057,0.000510393,1,0.991635791,0.992222122
s0_size10064_originalsize10064,2.797880173,2.816858768,0.001555547,2.79632473,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.932311296,2.933907509,0.000794687,2.931516647,0.001037325,1,0.996409692,0.996738393
s0_size10064_originalsize10064,2.798401356,2.783162594,0.002036503,2.796364784,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.743061543,2.739382267,0.001347069,2.741714478,0.000477085,1,0.993997232,0.992311501
s0_size10064_originalsize10064,2.79811573,2.78105855,0.001554841,2.796561003,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.763719559,2.782687664,0.001241626,2.762477875,0.002530242,1,0.994400527,0.996899028
s0_size10064_originalsize10064,2.796310186,2.814404249,0.001467951,2.794842243,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.66951108,2.700302601,0.001452349,2.668058634,0.00079537,1,0.993924799,0.99378049
s0_size10064_originalsize10064,2.796022892,2.790970087,0.00150823,2.794514656,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.815587282,2.815644979,0.001141209,2.814445972,0.000813453,1,0.99491447,0.996494656
s0_size10064_originalsize10064,2.794959784,2.788263798,0.001535682,2.793424129,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.779081583,2.794799805,0.000745915,2.778335571,0.00121373,1,0.996641563,0.996216688
s0_size10064_originalsize10064,2.79628396,2.814402103,0.001572535,2.794711351,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.819371939,2.874645472,0.006799028,2.812572956,0.004456844,1,0.974666944,0.995425888
s0_size10064_originalsize10064,2.794469357,2.807422638,0.001827618,2.79264164,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.8042624,2.805818558,0.001974415,2.802288055,0.002419808,1,0.994177584,0.993239041
s0_size10064_originalsize10064,2.795611143,2.779844046,0.001514,2.794097185,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.812860012,2.803563595,0.000860269,2.811999798,0.000868596,1,0.996226988,0.995775193
s0_size10064_originalsize10064,2.793173313,2.792108774,0.001556508,2.791616917,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.858390093,2.860446692,0.000883253,2.857506752,0.000481344,1,0.995885753,0.995664717
s0_size10064_originalsize10064,2.792282581,2.795445919,0.001222084,2.791060448,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.774723053,2.787520885,0.001020916,2.773702145,0.000559517,1,0.997153864,0.997372447
s0_size10064_originalsize10064,2.794507027,2.826131582,0.002117813,2.792389154,TRUE,0,0.001,Adam,0,0.0001,FALSE,512,2.931694746,2.942716599,0.001548657,2.930145979,0.000913078,1,0.992876202,0.991210243
